iter	Passed	Remaining
1136	2429	775
1137	2431	773
1138	2433	771
1139	2436	769
1140	2438	767
1141	2440	764
1142	2442	762
1143	2444	760
1144	2447	758
1145	2449	756
1146	2451	754
1147	2453	752
1148	2455	750
1149	2457	748
1150	2459	745
1151	2461	743
1152	2463	741
1153	2465	739
1154	2467	737
1155	2469	734
1156	2472	732
1157	2474	730
1158	2476	728
1159	2478	726
1160	2480	724
1161	2482	722
1162	2485	720
1163	2487	717
1164	2489	715
1165	2491	713
1166	2493	711
1167	2495	709
1168	2497	707
1169	2499	704
1170	2501	702
1171	2503	700
1172	2505	698
1173	2507	696
1174	2510	694
1175	2512	692
1176	2514	690
1177	2516	688
1178	2519	685
1179	2521	683
1180	2523	681
1181	2526	679
1182	2528	677
1183	2530	675
1184	2533	673
1185	2535	671
1186	2538	669
1187	2540	667
1188	2542	665
1189	2544	662
1190	2546	660
1191	2548	658
1192	2550	656
1193	2552	654
1194	2554	652
1195	2557	650
1196	2559	647
1197	2561	645
1198	2563	643
1199	2565	641
1200	2567	639
1201	2570	637
1202	2572	635
1203	2574	632
1204	2576	630
1205	2578	628
1206	2580	626
1207	2582	624
1208	2584	622
1209	2587	620
1210	2589	617
1211	2591	615
1212	2594	613
1213	2596	611
1214	2598	609
1215	2600	607
1216	2602	605
1217	2604	603
1218	2606	600
1219	2608	598
1220	2610	596
1221	2612	594
1222	2614	592
1223	2616	590
1224	2619	588
1225	2621	585
1226	2624	583
1227	2625	581
1228	2627	579
1229	2630	577
1230	2632	575
1231	2634	573
1232	2636	570
1233	2638	568
1234	2641	566
1235	2643	564
1236	2645	562
1237	2647	560
1238	2649	558
1239	2651	555
1240	2653	553
1241	2655	551
1242	2657	549
1243	2660	547
1244	2662	545
1245	2664	543
1246	2666	540
1247	2668	538
1248	2670	536
1249	2672	534
1250	2674	532
1251	2676	530
1252	2678	528
1253	2686	526
1254	2689	525
1255	2692	523
1256	2695	521
1257	2697	518
1258	2699	516
1259	2701	514
1260	2703	512
1261	2705	510
1262	2707	508
1263	2710	506
1264	2713	504
1265	2715	501
1266	2717	499
1267	2719	497
1268	2722	495
1269	2724	493
1270	2726	491
1271	2728	489
1272	2730	486
1273	2732	484
1274	2734	482
1275	2736	480
1276	2738	478
1277	2740	476
1278	2742	473
1279	2745	471
1280	2747	469
1281	2749	467
1282	2752	465
1283	2754	463
1284	2756	461
1285	2759	459
1286	2761	457
1287	2764	454
1288	2766	452
1289	2768	450
1290	2770	448
1291	2772	446
1292	2774	444
1293	2776	441
1294	2778	439
1295	2780	437
1296	2782	435
1297	2784	433
1298	2786	431
1299	2788	429
1300	2790	426
1301	2792	424
1302	2794	422
1303	2796	420
1304	2798	418
1305	2801	416
1306	2803	413
1307	2805	411
1308	2807	409
1309	2809	407
1310	2811	405
1311	2813	403
1312	2815	401
1313	2818	398
1314	2820	396
1315	2822	394
1316	2824	392
1317	2826	390
1318	2828	388
1319	2830	385
1320	2832	383
1321	2834	381
1322	2836	379
1323	2838	377
1324	2840	375
1325	2842	373
1326	2844	370
1327	2847	368
1328	2849	366
1329	2851	364
1330	2853	362
1331	2855	360
1332	2857	357
1333	2859	355
1334	2860	353
1335	2863	351
1336	2865	349
1337	2867	347
1338	2869	345
1339	2871	342
1340	2873	340
1341	2875	338
1342	2877	336
1343	2879	334
1344	2881	332
1345	2884	329
1346	2886	327
1347	2888	325
1348	2890	323
1349	2892	321
1350	2894	319
1351	2896	317
1352	2898	314
1353	2901	312
1354	2903	310
1355	2905	308
1356	2907	306
1357	2909	304
1358	2911	302
1359	2913	299
1360	2915	297
1361	2917	295
1362	2919	293
1363	2922	291
1364	2924	289
1365	2926	287
1366	2928	284
1367	2931	282
1368	2933	280
1369	2935	278
1370	2937	276
1371	2939	274
1372	2941	272
1373	2943	269
1374	2945	267
1375	2947	265
1376	2949	263
1377	2951	261
1378	2953	259
1379	2955	257
1380	2957	254
1381	2959	252
1382	2961	250
1383	2964	248
1384	2966	246
1385	2968	244
1386	2970	242
1387	2972	239
1388	2974	237
1389	2976	235
1390	2978	233
1391	2980	231
1392	2982	229
1393	2984	226
1394	2986	224
1395	2989	222
1396	2991	220
1397	2993	218
1398	2995	216
1399	2997	214
1400	2999	211
1401	3001	209
1402	3003	207
1403	3005	205
1404	3007	203
1405	3010	201
1406	3012	199
1407	3014	196
1408	3016	194
1409	3018	192
1410	3020	190
1411	3022	188
1412	3025	186
1413	3027	184
1414	3028	181
1415	3031	179
1416	3033	177
1417	3035	175
1418	3037	173
1419	3039	171
1420	3041	169
1421	3043	166
1422	3045	164
1423	3048	162
1424	3051	160
1425	3053	158
1426	3055	156
1427	3057	154
1428	3059	152
1429	3061	149
1430	3063	147
1431	3066	145
1432	3068	143
1433	3070	141
1434	3072	139
1435	3074	137
1436	3076	134
1437	3078	132
1438	3080	130
1439	3082	128
1440	3084	126
1441	3087	124
1442	3089	122
1443	3091	119
1444	3093	117
1445	3095	115
1446	3097	113
1447	3099	111
1448	3101	109
1449	3103	107
1450	3105	104
1451	3107	102
1452	3109	100
1453	3112	98
1454	3114	96
1455	3116	94
1456	3118	92
1457	3120	89
1458	3122	87
1459	3124	85
1460	3127	83
1461	3129	81
1462	3131	79
1463	3133	77
1464	3135	74
1465	3137	72
1466	3139	70
1467	3141	68
1468	3144	66
1469	3146	64
1470	3148	62
1471	3150	59
1472	3152	57
1473	3154	55
1474	3156	53
1475	3159	51
1476	3161	49
1477	3164	47
1478	3166	44
1479	3168	42
1480	3170	40
1481	3172	38
1482	3175	36
1483	3177	34
1484	3179	32
1485	3181	29
1486	3183	27
1487	3185	25
1488	3187	23
1489	3189	21
1490	3191	19
1491	3193	17
1492	3195	14
1493	3197	12
1494	3199	10
1495	3202	8
1496	3204	6
1497	3206	4
1498	3208	2
1499	3210	0
